===== QUEUE_PREPARE A_field_d0 outcome=EXACT — CUMULATIVE =====
         10986928 function calls (10760149 primitive calls) in 7.912 seconds

   Ordered by: cumulative time
   List reduced from 1567 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
81757/70459    0.017    0.000    0.037    0.000 {built-in method builtins.hash}



===== QUEUE_COVERAGE A_field_d0 outcome=EXACT — CUMULATIVE =====
         2172898 function calls (2161476 primitive calls) in 1.707 seconds

   Ordered by: cumulative time
   List reduced from 428 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.707    1.707 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/conveyor.py:1462(conveyor_coverage)
        2    0.000    0.000    1.472    0.736 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/conveyor.py:1515(<genexpr>)
        1    0.000    0.000    1.472    1.472 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/conveyor.py:1342(_region_coverage)
        1    0.000    0.000    1.472    1.472 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:190(coverage_at)
        1    0.000    0.000    1.462    1.462 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:211(_prime_universe_from_q_values)
        5    0.001    0.000    1.462    0.292 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:164(_factorize)
      190    0.000    0.000    1.460    0.008 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:96(_pollard_rho)
       63    1.332    0.021    1.458    0.023 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:111(_pollard_rho_brent_attempt)
